Customer_id,Full_Name,Customer_Email,dob,Customer_Phone,system status,Connection_type,value_segment
V0H084B3FA,Mahika Gill,mahika.gill@gmail.com,6/23/1993,785877743,Active,Prepaid,tier_3
7SI1YKSDMB,Elakshi Gour,elakshi.gour@outlook.com,6/14/1981,9638371516,Active,Prepaid,tier_3
H0L4L7VHXT,Tanya Srinivasan,tanyasrinivasan@yahoo.com,3/22/2003,559420656,Active,Prepaid,tier_3
6I324KGK08,Kashvi Saraf,kashvisaraf@yahoo.com,6/27/2001,4985572504,Active,Prepaid,tier_3
WKJ0VXQFIY,Piya Ram,piyaram@hotmail.com,3/31/1994,5549849574,Active,Prepaid,tier_3
HT4P3N5R38,Aniruddh Kothari,aniruddhkothari@hotmail.com,4/20/1994,8609260186,Active,Prepaid,tier_3
Y4EHCD6U3G,Riya Gala,riya.gala@hotmail.com,8/10/1989,6947567136,Suspended,Prepaid,tier_3
KTYHYNJG3Q,Tarini Sabharwal,tarini.sabharwal@yahoo.com,12/3/1973,7701533431,Suspended,Prepaid,tier_3
2N2119NGLF,Shanaya Sampath,shanaya_sampath@gmail.com,10/29/1988,4587205438,Active,Prepaid,tier_3
CT2JZ4HB0I,Hunar Ganesan,hunar_ganesan@gmail.com,11/15/1975,2639082834,Active,Prepaid,tier_3
HF5N5ZWXFL,Anaya Raval,anaya.raval@gmail.com,2/8/1978,1631824049,Active,Prepaid,tier_3
4WMWWD3L7C,Hunar Bhat,hunar_bhat@outlook.com,1/17/1999,4495192598,Active,Prepaid,tier_3
RIPWSYBXN8,Mehul Rege,mehul.rege@gmail.com,2/25/1981,9384883971,Active,Postpaid,tier_2
9GXGVJOUV1,Shanaya Bhavsar,shanayabhavsar@gmail.com,7/19/1997,8437052858,Active,Prepaid,tier_3
WOT5TC8J5V,Renee Mander,reneemander@yahoo.com,6/13/2004,958564312,Active,Prepaid,tier_3
U38Z486TPA,Faiyaz Anand,faiyaz.anand@hotmail.com,2/21/1985,2501299169,Active,Prepaid,tier_3
PYTD6L08D9,Lakshit Solanki,lakshitsolanki@yahoo.com,12/5/1971,2320260635,Active,Prepaid,tier_3
YDS5XC3E0C,Mohanlal Goyal,mohanlalgoyal@hotmail.com,10/23/1995,1396783988,Suspended,Prepaid,tier_3
AB4ANZ6G75,Vardaniya Contractor,vardaniya.contractor@hotmail.com,7/27/1968,1157033491,Active,Prepaid,tier_3
AWVATWP59G,Shayak Krishna,shayak_krishna@yahoo.com,7/11/1983,1531277808,Active,Prepaid,tier_3
KXGA8SKWE8,Divyansh Gole,divyansh.gole@hotmail.com,1/31/1977,1978597465,Active,Prepaid,tier_3
OQ9B2EXIDK,Divyansh Bansal,divyansh.bansal@hotmail.com,12/15/1971,5329689330,Active,Prepaid,tier_3
TEJYJOBYU0,Devansh Chandra,devansh_chandra@gmail.com,1/8/1983,1689376837,Suspended,Prepaid,tier_3
UDO9383QJE,Jhanvi Dada,jhanvi_dada@yahoo.com,12/6/1995,5344324005,Active,Prepaid,tier_3
3OLCZ44QRO,Amani Bhalla,amanibhalla@hotmail.com,9/5/2002,5521983723,Active,Prepaid,tier_3
SQFIGG8YCD,Bhavin Iyengar,bhavin.iyengar@gmail.com,3/5/1994,9088617007,Active,Prepaid,tier_3
I21IUMPDF1,Hansh Bora,hansh.bora@yahoo.com,8/29/1997,3273037537,Active,Prepaid,tier_3
KSTCDNRYGF,Keya Cheema,keya.cheema@outlook.com,8/28/2003,8573165055,Active,Prepaid,tier_3
9O7IBO2QF1,Adah Kala,adah_kala@hotmail.com,6/15/1991,7915523498,Active,Prepaid,tier_3
EK7ID36HSW,Kiara Desai,kiaradesai@hotmail.com,2/21/1973,8315580574,Active,Prepaid,tier_3
A3V6947CM2,Mehul Tiwari,mehul.tiwari@gmail.com,12/7/1990,678598830,Active,Prepaid,tier_3
JUMVL6CNGJ,Lakshay Garg,lakshay.garg@hotmail.com,10/22/1971,3062186262,Active,Prepaid,tier_3
JTJGYY3G1V,Ishaan Saini,ishaan.saini@outlook.com,7/15/1981,6434847137,Active,Prepaid,tier_3
SWIQKJBXG3,Jayesh Acharya,jayesh_acharya@gmail.com,6/26/2002,1463436718,Active,Prepaid,tier_3
3O4E8R56ZY,Anay Kant,anay_kant@hotmail.com,12/13/1995,6750592250,Active,Prepaid,tier_3
62KEF2L6A7,Dhanush Hans,dhanush.hans@outlook.com,1/30/1985,2307078648,Active,Prepaid,tier_3
70I2OKRKVT,Lakshay Grewal,lakshay_grewal@hotmail.com,5/13/1974,5067398352,Active,Prepaid,tier_3
3G9BQWXW9T,Mohanlal Kala,mohanlal_kala@yahoo.com,9/3/1993,6001281746,Suspended,Prepaid,tier_3
EBADE46TWC,Vanya Master,vanya.master@outlook.com,7/6/1993,5072190000,Active,Postpaid,tier_1
BFMG80UXBU,Romil Vala,romil_vala@yahoo.com,1/5/1997,6761604421,Active,Prepaid,tier_3
